record.documents.license	count
cern_ohl	1
mixed	1
cc_gnu_gpl_4	1
odc_dbcl	1
apache_2	1
cc_apache	2
custom	2
cc_gnu_gpl2	2
gnu_fdl	2
ncgl	2
materialtransferagreement	3
bsd_2	4
bsd_3	4
gnu_gpl_3	4
cc_by_sa_40	5
cc_zero	6
odc_odbl	11
cc_gnu_lgpl	19
other_licence	22
cc_gnu_gpl	30
cc_by_nc_sa	32
allrights	35
cc_by_nc_nd	41
attached	46
other	48
cc_public_domain	50
non_disclosure_agreement	56
cc_mit	57
gnu_notice	68
cc_by_nc_sa_4	80
cc_by_sa	82
nsfs	95
cc_by_nc	106
cc_by_nc_nd_4	179
cc_by_nd	223
odc_by	269
datasharingagreement	285
cc_by_sa_4	404
all_rights_reserved	860
cc_by_nd_4	866
cc_by_nc_4	868
cc_by	5966
cc_by_4	7822
